title;for;dex;con;int;sag;cha;ref;vig;vol;init;pv;ca;xp;vd;sorts;resistances;corps a corps;distance;attaques speciales;dons;competences;modificateurs raciaux;sens;langues;environnement;tresor;organisation sociale;bba;bmo;dmd;text;misc;
"Décapus";"16";"13";"15";"10";"11";"12";"+3";"+4";"+5";"+1";"45 (6d8+18)";"16, contact 11, pris au depourvu 15 (dex +1, naturelle +5)";"1 200";"3 m (2 c), escalade 9 m (6 c)";"* À volonté - image imparfaite (DD 12)";;"morsure, +7 (1d6+3) et tentacules, +8 (2d4+3 plus etreinte)";;"constriction (2d4+4)";"arme de predilection (tentacule), robustesse, talent (bluff)";"acrobaties +7 (-1 pour sauter), art de la magie +6, bluff +7, discretion +7, escalade +16, evasion +5, intimidation +7, perception +11";"+4 en perception";"vision dans le noir 18 m (12 c) ; perception +11";"aklo";"forets temperees ou sous terre";"standard";"solitaire ou couple reproducteur";"+4";"+5 (+9 lutte)";"16 (croc-en-jambe impossible)";"* Source : Bestiaire 2, page 85
* Aberration de taille M, CM";"* espace : 1,50 m (1 c)
* pouvoirs magiques : (nls 6 ; concentration +7)
* tentacules : les tentacules d'un decapus doivent tous frapper la meme cible, mais ils fonctionnent comme des attaques primaires
* particularites : imitation des sons (voix), tentacules
* allonge : 1,50 m (1 c)";
"Déinonychus";"15";"15";"19";"2";"12";"14";"+6";"+8";"+2";"+6";"34 (4d8+16)";"15, contact 12, pris au depourvu 13 (dex +2, naturelle +3)";"800";"18 m (12 c)";"";;"2 serres, +5 (1d8+2), morsure, +5 (1d6+2), griffes avant, +0 (1d4+1)";;"bond";"course, science de l'initiative";"acrobaties +10 (+22 pour le saut), discretion +15, perception +14";"acrobaties +8, discretion +8, perception +8";"odorat, vision nocturne ; perception +14";;"forets chaudes";"aucun";"solitaire, couple ou meute (3-12)";"+3";"+5";"17";"* Source : Bestiaire p.89
* Animal de taille M, N";"";
"Démon des ombres";"-";"18";"17";"14";"14";"19";"+11";"+5";"+7";"+8";"59 (7d10+21)";"18, contact 18, pris au depourvu 14 (dex +4, parade +4)";"3.200";"vol 12 m (8 c) (parfait)";"";"acide 10, feu 10";"2 griffes, +11 contact (1d6 et 1d6 froid), morsure, +11 contact (1d8 et 1d6 froid)";;"bond, fusion dans les ombres, sprint";"attaques reflexes, combat en aveugle, reflexes surhumains, science de l'initiative";"acrobaties +14, bluff +14, connaissances (folklore local) +12, connaissances (plans) +12, discretion +14, perception +20, psychologie +12, vol +22";"perception +8";"vision dans le noir 18 m (12 c) ; perception +20";"abyssal, commun ; telepathie 30 m (20 c)";"quelconque (abysse)";"standard";"solitaire, couple ou groupe (3-8)";"+7";"+11";"25";"* Source : Bestiaire p.60
* Extérieur (Chaos, démon, extraplanaire, Mal) de taille M, CM
* À volonté - télékinésie (DD 19), téléportation suprême (lui-même uniquement), ténèbres profondes, terreur (DD 18)
* 3/jour - convocation d'ombres (DD 18), magie des ombres (DD 19)
* 1/jour - convocation (niveau 3, 1 démon des ombres 50%), possession (DD 19)";"* capacites defensives : intangible
* faiblesses : impuissant sous la lumiere du soleil
* fusion avec les ombres : sous n'importe quelle condition de luminosite autre qu'une lumiere vive, un demon des ombres peut se fondre dans les ombres par une action de mouvement (comme s'il devenait invisible). les lumieres artificielles et les sorts de lumiere de niveau inferieur ou egal a 2 ne suffisent pas pour contrer cette capacite
* impuissant sous la lumiere du soleil : les demons des ombres sont litteralement impuissants sous une lumiere vive ou sous le lumiere naturelle du soleil et ils fuient ces conditions de luminosite. s'ils ne peuvent s'en extraire, ils sont incapables d'attaquer et ne peuvent effectuer qu'une action de mouvement simple ou une action simple par round. les demons des ombres qui possedent une creature grace a leur pouvoir de possession ne sont pas affectes par la lumiere du soleil mais si un sort de rayon de soleil ou d 'explosion de lumiere les touche, ils sont automatiquement expulses de leur hote
* pouvoirs magiques : (nls 10{e})
* sprint : une fois par minute, un demon des ombres peut augmenter sa vitesse de vol a 36 m (48 c) pendant 1 round
* rm : 17
* rd : 10/fer froid ou bien
* immunites : electricite, froid, poison";
"Déva astral";"26";"19";"21";"18";"18";"23";"+13";"+16";"+11 ; +4 contre le poison, +4 (resistance) contre le mal";"+8";"172 (15d10+90)";"29, contact 14, pris au depourvu 25 (dex +4, naturelle +15 ; parade +4 contre le mal)";;"15 m (10 c, vol 30 m (20 c) (bonne)";"* À volonté - aide, aura sacrée (DD 24), changement de plan (DD 23), châtiment sacré (DD 20), délivrance des malédictions, détection du Mal, détection du mensonge (DD 20), dissipation de la magie, flamme éternelle, guérison des maladies, invisibilité (sur lui-même uniquement), parole sacrée (DD 23), regain d'assurance, rejet du Mal (DD 21)
* 7/jour - détection de l'invisibilité, soins légers
* 1/jour - barrière de lames (DD 22), guérison suprême";"electricite 10, feu 10";"marteau de guerre de destruction +2, +26/+21/+16 (1d8+14/x3 et etourdissement) ou coup, +23 (1d8+12)";;;"arme de predilection (marteau de guerre), attaque en puissance, enchainement, robustesse, science de l'initiative, vigilance, vigueur surhumaine, volonte de fer";"acrobaties +22, artisanat (un au choix) +22, connaissances (plans) +22, connaissances (religion) +19, diplomatie +24, discretion +22, intimidation +24, perception +26, psychologie +26, vol +26";;"vision dans le noir 18 m (12 c), vision nocturne ; perception +26";"celeste, draconique, infernal ; langage universel";"tous les plans du bien";"double (marteau de guerre +2 de destruction)";"solitaire, couple ou escouade (3-6)";"+15";"+23";"37";"* Source : Bestiaire p.12
* Extérieur (ange, Bien, extraplanaire) de taille M, NB";"* capacites defensives : esquive instinctive
* etourdissement : si, au cours d'un round, un deva astral blesse la meme creature deux fois avec son marteau de guerre, celle-ci doit reussir un jet de vigueur de dd 25 pour ne pas etre etourdie pendant 1d6 rounds. le dd du jet de sauvegarde depend de la force
* immunites : acide, froid, petrification
* esquive instinctive : cette capacite fonctionne comme l'aptitude de roublard de meme nom (voir esquive instinctive). si un deva obtient obtient a nouveau cette capacite en gagnant un niveau de classe, il acquiert alors l'aptitude esquive instinctive superieure
* rd : 10/mal
* rm : 25
* aura : aura de protection
* pouvoirs magiques : (nls 13{e})
* particularites : changement de forme (modification d'apparence )";
"Déva monadique";"21";"19";"18";"19";"18";"19";"+13";"+15";"+10 ; +4 contre le poison ; +4 (resistance) contre le mal";"+8";"147 (14d10+70)";"27, contact 14, pris au depourvu 23 (dex +4, naturelle +13) (parade +4 contre le mal)";"19 200";"12 m (8 c), vol 27 m (18 c) (bonne)";"";;"morgenstern +3, +22/+17/+12 (1d8+10 plus coup percutant)";;;"attaque en puissance, enchainement, robustesse, science de l'initiative, vigilance, vigueur surhumaine, volonte de fer";"connaissances (plans) +21, connaissances (religion) +21, diplomatie +21, discretion +21, intimidation +21, natation +19, perception +29, psychologie +25, survie +21, vol +25";"+4 en perception";"detection du mal, vision dans le noir 18 m (12 c), vision nocturne ; perception +29";"celeste, draconique, infernal ; langage universel";"plans d'alignement bon";"double (morgenstern +3, autres tresors)";"solitaire, couple ou escouade (3-6)";"+14";"+19";"33";"* Source : Bestiaire 2, p.29
* Extérieur (ange, aquatique, Bien, extraplanaire de taille M, NB
* feu, froid, pétrification ; 
* Constant - détection du Mal
* À volonté - aide, changement de plan (DD 19), charme-monstre (DD 18, les élémentaires uniquement), châtiment sacré (DD 18), délivrance des malédictions, détection du mensonge (DD 18), dissipation de la magie, guérison des maladies, invisibilité (personnel uniquement), regain d'assurance, rejet du Mal (DD 19)
* 3/jour - image miroir, parole sacrée (DD 21), soins importants
* 1/jour - aura sacrée (DD 22), guérison suprême, immobilisation de monstre (DD 18)";"* immunites : absorption d'energie, acide, effets de mort, electricite
* aura : de protection
* pouvoirs magiques : (nls 10 ; concentration +14)
* rm : 23
* rd : 10/mal
* particularites : amphibie
* coup percutant : si, au cours d'un round, un deva monadique touche la meme creature deux fois avec sa masse, celle-ci subit 1d8+10 points de degats supplementaires";
"Déva movanique";"19";"17";"18";"17";"17";"19";"+11";"+12";"+9 ; +4 contre le poison, +4 (resistance) contre le mal";"+7";"126 (12d10+60)";"24, contact 13, pris au depourvu 21 (dex +3, naturelle +11) (parade +4 contre le mal)";"9 600";"12 m (8 c), vol 18 m (12 c) (bonne)";"";;"epee a deux mains de feu +1, +17/+12/+7 (2d6+7/19-20 plus 1d6 feu)";;;"attaque en puissance, enchainement, frappe decisive, robustesse, science de l'initiative, volonte de fer";"connaissances (plans) +18, connaissances (religion) +18, diplomatie +19, discretion +18, intimidation +19, perception +20, psychologie +16, survie +18, vol +22";"+4 en perception";"detection du mal, vision dans le noir 18 m (12 c), vision nocturne ; perception +20";"celeste, draconique, infernal ; langage universel";"plans d'alignement bon";"double (epee a deux mains de feu +1, autres tresors)";"solitaire, couple ou escouade (3-6)";"+12";"+16";"29";"* Source : Bestiaire 2, p.30
* Extérieur (ange, Bien, extraplanaire de taille M, NB
* Constant - détection du Mal
* À volonté - aide, changement de plan (DD 19), châtiment sacré (DD 18), délivrance des malédictions, détection du mensonge (DD 18), dissipation de la magie, guérison des maladies, invisibilité (personnel uniquement), regain d'assurance, rejet du Mal (DD 19)
* 7/jour - soins importants
* 1/jour - aura sacrée (DD 22), éveil, zone d'antimagie";"* capacites defensives : pacifisme de la nature, force vitale protegee
* force vitale protegee : les devas movaniques ne souffrent jamais des effets des plans a dominante positive ou negative
* immunites : absorption d'energie, acide, effets de mort, electricite, feu, froid, petrification
* pouvoirs magiques : (nls 8 ; concentration +12)
* aura : de protection
* rm : 21
* rd : 10/mal
* pacifisme de la nature : les animaux et les creatures-plantes n'attaquent jamais volontairement un deva movanique (ils peuvent toutefois y etre contraints par magie et si le deva attaque une plante ou un animal, celui-ci est libre de riposter)";
"Dévoreur d'âmes";"13";"22";"14";"12";"11";"11";"+13";"+5";"+7";"+10";"82 (11d10+22)";"21, contact 17, pris au depourvu 14 (dex +6, esquive +1, naturelle +4)";"19 200";"9 m (6 c), vol 30 m (20 c) (parfaite)";"";;"2 griffes, +18 (1d6+1/19-20 plus affaiblissement temporaire 1d6 sagesse)";;"absorption d'ames, localisation de cible";"arme de predilection (griffe), attaque en finesse, attaque en vol, esquive, science de l'initiative, science du critique (griffe)";"acrobaties +20 (+8 pour sauter), connaissances (plans) +15, discretion +20 (+28 dans les tenebres ou la fumee), evasion +20, intimidation +14, perception +14, vol +28";;"vision a 360°, vision dans le noir 18 m (12 c) ; perception +14";"abyssal, infernal";"plans exterieurs (abaddon)";"aucun";"solitaire";"+11";"+12";"29 (croc-en-jambe impossible)";"* Source : Bestiaire 2, p.91
* Extérieur (extraplanaire, Mal) de taille M, NM";"* localisation de cible : quand l'invocateur d'un devoreur d'ames lui ordonne de trouver une creature, il peut se diriger vers elle sans erreur, comme s'il etait guide par un sort de localisation de creature qui n'aurait pas de portee maximale et ne serait pas bloque par l'eau courante. l'invocateur doit avoir vu la cible recherchee et doit prononcer son nom
* lien avec l'invocateur : quand un devoreur d'ames est invoque, un lien mental se cree entre lui et son invocateur. si la cible assignee au devoreur d'ames (voir la capacite de localisation de cible) meurt avant que le devoreur d'ames ne puisse absorber son ame, ou si le devoreur d'ames est vaincu par sa cible (mais pas tue), il revient vers l'invocateur a pleine vitesse et l'attaque. tant que le devoreur d'ames et son invocateur se trouvent sur le meme plan (meme s'ils ont change de plan entre temps), le devoreur d'ames peut utiliser sa capacite de localisation de cible pour retrouver son invocateur
* affaiblissement temporaire de sagesse : toutes les creatures touchees par une attaque de griffe de devoreur d'ames doivent reussir un jet de vigueur de dd 17 pour ne pas subir un affaiblissement temporaire de 1d6 points de sagesse. le dd du jet de sauvegarde depend de la constitution
* absorption d'ames : si l'affaiblissement temporaire inflige par une attaque de griffe du devoreur d'ames egale ou depasse la valeur de sagesse effective de la cible et que celle-ci devient donc sans defense, le devoreur d'ames peut devorer son ame par une action simple qui provoque une attaque d'opportunite. cette attaque tue la victime. la victime morte peut tenter d'empecher le devoreur d'ames de s'emparer de son ame en reussissant un jet de vigueur contre un dd de 17. en cas de reussite, la victime meurt quand meme, mais elle peut etre ramenee a la vie normalement. en cas d'echec, l'ame de la victime est consommee par le devoreur d'ames. une victime qui perd la vie de cette maniere ne peut pas etre ramenee a la vie par un sort de clone, de rappel a la vie ou de reincarnation. elle peut l'etre par une resurrection, une resurrection supreme, un miracle ou un souhait, mais seulement si le lanceur du sort reussit un test de nls contre un dd de 30. si le devoreur d'ames est tue a 36 metres ou moins du corps de la victime et que celle-ci est morte depuis moins de 1 minute, l'ame de cette derniere revient vers son corps et lui redonne vie. la victime se retrouve inconsciente avec -1 point de vie. il s'agit d'un effet de mort. le dd du jet de sauvegarde depend de la constitution
* immunites : critiques, etourdissement, paralysie, poison, sommeil
* rd : 10/magie
* particularites : lien avec l'invocateur";
"Dévoreur d'intellect";"12";"23";"21";"16";"10";"17";"+8";"+7";"+8";"+10";"84 (8d8+48)";"22, contact 17, pris au depourvu 16 (dex +6, naturelle +5, taille +1)";"4.800";"8";"* Constant - détection de la magie
* À volonté - blessure grave (DD 16), confusion (DD 17, une seule cible), hébétement de monstre (DD 15, sans limite de DV), invisibilité, rapetissement (fonctionne seulement sur lui-même)
* 3/jour - globe d'invulnérabilité renforcée, soins modérés";"electricite 20, froid 20, son 20";"4 griffes +13 (1d4+1)";;"attaque sournoise +3d6, vol de corps";"attaque en finesse, robustesse, science de l'initiative, volonte de fer";"bluff +19, connaissances (folklore local) +14, deguisement +11, discretion +29, perception +19, psychologie +8, utilisation d'objets magiques +11";"bluff +8, discretion +8, perception +8";"detection de la magie, vision aveugle 18 m (12 c) ; perception +19";"commun des profondeurs (ne sait pas parler) ; telepathie 30 m (20 c)";"souterrain";"double";"solitaire, portee (2-6), ou tribu (7-16)";"+6";"+6";"22 (26 contre croc-en-jambe)";"* Source : Bestiaire p.76
* Aberration de taille P, CM";"* rm : 23
* rd : 10/adamantium et magie
* pouvoirs magiques : (nls 8{e})
* immunites : effets mentaux, feu
* vol de corps : par une action complexe (qui provoque des attaques d'opportunite), un devoreur d'intellect peut rapetisser, s'introduire dans la bouche d'une creature morte ou sans defense et se frayer un passage vers le crane de sa victime afin d'aller devorer son cerveau. il s'agit d'une tentative de coup de grace qui inflige 8d4+3d6+8 points de degats. si la victime meurt (ou si elle etait deja morte), le devoreur d'intellect prend le controle de son corps et peut l'utiliser comme s'il controlait la victime a l'aide d'un sort de domination universelle. le devoreur d'intellect dispose d'un acces complet a toutes les capacites defensives et offensives de la victime a l'exception de ses pouvoirs magiques et de ses sorts (mais le devoreur peut utiliser ses propres pouvoirs magiques). cette capacite ne fonctionne que si le corps de l'hote est decede depuis moins de 24 heures. les depouilles ainsi utilisees continuent a se decomposer et deviennent inutilisables apres 7 jours (a moins que cette periode ne soit prolongee par un sort de preservation des morts). tant que le devoreur d'intellect occupe le corps, il comprend et peut parler les langues que la victime maitrisait et connait quelques informations basiques au sujet de son identite et de sa personnalite. il n'a cependant pas acces a ses souvenirs ni a ses connaissances. le devoreur d'intellect ne subit aucun effet nefaste lorsque son hote est blesse, mais si ce dernier est tue, le devoreur en emerge et est hebete pendant 1 round. un sort de rappel a la vie ne suffit pas a ramener a la vie la victime d'un vol de corps, mais un sort de resurrection ou plus puissant le peut
* vulnerabilite a la protection contre le mal : les devoreurs d'intellect sont considerees comme des creatures invoquees lorsqu'il s'agit de determiner les effets qu'un sort de protection contre le mal a sur eux
* faiblesses : vulnerabilite a la protection contre le mal";
"Dévoreur draconique - Dracosire Rouge";"45";"8";"-";"24";"25";"26";"+14";"+23";"+23";"+3";"337 (27d8+216)";"45, contact 9, pris au depourvu 45 (dex -1, naturelle +36, parade +4, taille -4)";"614 400";"12 m (8 c), vol 75 m (50 c) (deplorable)";"* À volonté - détection de la magie, mur de feu, orientation, pyrotechnie (DD 20), suggestion (DD 21)
* 9{e} - absorption d'énergie, arrêt du temps, souhait
* 8{e} - dédale, flétrissure (DD 26), verrou dimensionnel
* 7{e} - cage de force (DD 25), renvoi des sorts, téléportation suprême
* 6{e} - dissipation suprême, éclair multiple (DD 24), vision lucide
* 5{e} - cône de froid (DD 23), débilité (DD 23), domination (DD 23), mur de force
* 4{e} - brouillard dense, charme-monstre (DD 22), confusion (DD 22), invisibilité suprême
* 3{e} - baiser du vampire, déplacement, lenteur (DD 21), rapidité
* 2{e} - détection de l'invisibilité, détection de pensées (DD 20), image miroir, simulacre de vie, toile d'araignée (DD 20)
* 1{er} - armure de mage, bouclier, coup au but, projectile magique, rayon affaiblissant (DD 19)
* 0 - détection de la magie, fatigue, lecture de la magie, manipulation à distance, message, prestidigitation, rayon de givre, réparation, signature magique";;"morsure, +40 (4d6+24/17-20) et 2 griffes, +40 (2d8+16/19-20) et coup de queue, +38 (2d8+24/19-20) et 2 ailes, +38 (2d6+8/19-20)";;"absorption d'ames, balayage avec la queue, ecrasement, fusion de la pierre, magie des ames, manipulation des flammes, souffle (cone de 18 m, dd 31, 22d10 feu et 2 niveaux negatifs)";"attaque en puissance, attaques multiples, critique etourdissant, don pour les critiques, enchainement, extension d'effet, frappe decisive, frappe decisive superieure, incantation rapide, science de la frappe decisive, science de la volonte de fer, science de l'initiative, science du critique (morsure), volonte de fer";"art de la magie +37, bluff +37, connaissances (histoire) +37, connaissances (mysteres) +37, connaissances (religion) +34, diplomatie +37, discretion +25, estimation +37, intimidation +45, perception +45, psychologie +37, vol +13";;"perception aveugle 36 m (24 c), vision dans le noir 72 m (48 c), vision malgre la fumee ; perception +45";"abyssal, aklo, commun, draconique, elfe, geant, infernal";"montagnes chaudes";"triple";"solitaire";"+27";"+48";"57 (61 contre croc-en-jambe)";"* Source : Bestiaire 2, p.92
* Mort-vivant (Feu) de taille Gig, CM";"* espace : 6 m (4 c)
* rm : 33
* rd : 20/bien
* pouvoirs magiques : (nls 27 ; concentration +35)
* aura : de feu, de terreur ecrasante, presence terrifiante (100 m (66 c), dd 31)
* immunites : feu, traits des morts-vivants
* sorts d'ensorceleur connus : (nls 20 ; concentration +28)
* allonge : 4,50 m (3 c) (6 m (4 c) pour la morsure)
* faiblesses : vulnerable au froid
* capacites defensives : resistance a la canalisation +4, armure d'ames (27 pv)";
"Dévoreur";"28";"16";"-";"19";"16";"21";"+7";"+9";"+12";"+7";"133 (14d8+70)";"25, contact 12, pris au depourvu 22 (dex +3, naturelle +13, taille -1)";"12.800";"9 m (6 c), vol 6 m (4 c) (parfait)";"* À volonté - allié d'outreplan{4e}, animation des morts{4e}, baiser de la goule{2e} (DD 17), baiser du vampire{3e} (DD 18), blessure grave{3e} (DD 18), confusion{4e} (DD 19), contrôle des morts-vivants{7e} (DD 22), main spectrale{2e}, malédiction{4e} (DD 19), mise à mort{2e} (DD 17), rayon affaiblissant{1e}, suggestion{3e} (DD 18), vision lucide{6e}";;"2 griffes, +18 (1d8+9 et absorption d'energie)";;"absorption d'energie (1 niveau, dd 20), engloutissement d'ames";"attaque en puissance, combat en aveugle, enchainement, expertise du combat, magie de guerre, science de l'initiative, science de la destruction";"art de la magie +21, bluff +19, connaissances (mysteres) +21, connaissances (plans) +18, diplomatie +14, discretion +6, intimidation +19, perception +20, psychologie +17, vol +19";;"vision dans le noir 18 m (12 c) ; perception +20";"abyssal, celeste, commun, infernal ; telepathie 30 m (20 c)";"quelconque";"standard";"solitaire";"+10";"+20";"33";"* Source : Bestiaire p.75
* Mort-vivant (extraplanaire) de taille G, NM";"* detournement de sorts : lorsqu'un des sorts suivants est lance sur le devoreur et vainc sa resistance a la magie, il affecte l'ame devoree plutot que le devoreur lui-meme : bannissement, confusion, dedale, desespoir foudroyant, detection de pensees, domination, emprisonnement, hypnose, marteau du chaos, parole sacree, possession, quete, rejet du mal, sequestration, suggestion, terreur ou n'importe quelle forme de charme ou de coercition. ces effets sont detournes vers l'ame emprisonnee mais ne lui causent aucun tort. le lanceur du sort effectue un test de nls contre un dd de 25. en cas de reussite, l'ame emprisonnee est liberee et la creature a laquelle elle appartient peut desormais etre ramenee a la vie normalement
* espace : 3 m (2 c)
* rm : 22
* pouvoirs magiques : (nls 18{e})
* allonge : 3 m (2 c)
* capacites defensives : detournement de sorts, traits des morts-vivants
* engloutissement d'ames : par une action simple, un devoreur peut effectuer une attaque de contact qui inflige 12d6+18 points de degats, comme s'il utilisait un sort d'execution. un jet de vigueur de dd 22 permet de reduire les degats a 3d6+18. si la victime est tuee par cette attaque, son ame se retrouve piegee dans le torse du devoreur. la creature ne peut pas atre ramenee a la vie tant que son ame n'est pas liberee (en detruisant le devoreur ou grace a un detournement de sorts). un devoreur ne peut emprisonner qu'une seule ame a la fois. l'essence capturee donne au devoreur un nombre de points d'essence egal a 5 fois le nombre de dv de l'ame. lorsqu'il utilise un de ses pouvoirs magiques, le devoreur doit depenser un nombre de points d'essence egal au niveau du sort correspondant (pour plus de facilites, les niveaux des sorts sont indiques dans le profil). au debut d'une rencontre, un devoreur dispose generalement de 3d4+3 points d'essence. l'ame emprisonnee acquiert un niveau negatif permanent pour chaque tranche de 5 points d'essence utilises. ces niveaux negatifs restent en place lorsque la creature est ramenee a la vie (mais ils ne se cumulent pas avec les niveaux negatifs resultant du sort qui l'a ramenee a la vie). les ames qui ont ete integralement consommees ne peuvent etre ramenees a la vie que par un sort de miracle ou de souhait. le dd du jet de sauvegarde depend du charisme";
"Dauphin";"12";"15";"13";"2";"13";"6";"+5";"+4";"+1";"+2";"11 (2d8+2)";"13, contact 12, pris au depourvu 11 (dex +2, naturelle +1)";"200";"nage 24 m (16 c)";"";;"coup +3 (1d4+1)";;;"attaque en finesse";"natation +13, perception +9";"perception +4";"vision aveugle 36 m (24 c), vision nocturne ; perception +9";;"oceans";"aucun";"solitaire, couple ou banc (3-18)";"+1";"+2";"14";"* Source : Bestiaire p.55
* Animal de taille M, N";"* particularites : retenir son souffle
* retenir son souffle : un dauphin peut retenir sa respiration pendant un nombre de minutes egal a 6 fois sa valeur de constitution avant de risquer de se noyer";
"Demiliche";"6";"17";"-";"21";"20";"21";"+15";"+14";"+21";"+7";"142 (15d8+75)";"25, contact 21, pris au depourvu 21 (dex +3, esquive +1, naturelle +4, maudite +5, taille -2)";"38 400";"vol 6 cases (parfaite)";"* Contant - vision lucide
* À volonté - malédiction supérieure (DD 21), télékinésie (DD 19), Plainte d'outre-tombe (étendue de 4 cases centrée sur la demiliche ; DD 24)";;;;"absorption d'ames";"attaques speciales renforcee (absorption d'ames), vigilance, maitrise du combat defensif, esquive, attaque en vol{b}, science de l'initiative, volonte de fer, reflexes surhumains, souplesse du serpent";"art de la magie +23, bluff +20, connaissances (donjons) +20, connaissances (histoire) +15, connaissances (mysteres) +23, connaissances (plans) +15, connaissances (religion) +18, discretion +24, perception +27, psychologie +27, vol +23";;"vision dans le noir 12 cases, vision lucide ; perception +27";"abyssal, aklo, commun, draconique, geant, infernal";"tous";"double";"solitaire";"+11";"+12";"30";"* Source : Bestiaire 3, blog Paizo
* Mort-vivant de taille TP, NM";"* tempete telekinetique : une demiliche peut utiliser son pouvoir magique de telekinesie d'une maniere particuliere afin de mettre en mouvement des tresors, de la poussiere, des os et d'autres debris afin de creer un tourbillon autour de son crane. ce tourbillon bloque la vision comme une nappe de brouillard au sein d'une etendue de 4 cases de rayon centree sur le crane de la demi-liche. les creatures qui se situent dans ce tourbillon subissent 12d6 points de degats par round au cours du tour de la demiliche (reflexes dd 20 pour moitie). la demiliche peut maintenir ce tourbillon sans limite de temps : il lui suffit juste de se concentrer
* malediction superieure : ce pouvoir fonctionne comme le sort de malediction mais il peut avoir l'un des effets suivants : -12 a une caracteristique ; -6 a deux caracteristiques ; -8 aux jets d'attaque, de sauvegarde et aux tests ; ou 25% de chances d'agir normalement. cette capacite fonctionne comme un sort de niveau 6
* torpeur : une demiliche n'entreprend aucune action contre des intrus, a moins que qu'ils ne derangent sa depouille ou son tresor
* pouvoirs magiques : (nls 20 ; concentration +25)
* rd : 20/-
* espace : 1/2 case
* absorption d'ames : en une action simple, une demiliche peut emprisonner une ame situee dans une portee de 60 cases (90 metres) a l'interieur d'une des 10 gemmes speciales incrustees dans son crane. si la cible reussit un jet de vigueur de dd 24, elle acquiert 2 niveaux negatifs permanents. en cas d'echec du jet de sauvegarde, son ame est immediatement absorbee par l'une des gemmes du crane de la demiliche. l'ame reste prisonniere de la gemme, ce qui a pour effet visible une lueur (un sort de vision lucide permet de voir exactement a quoi cette lueur correspond). le corps sans ame se decompose rapidement et tombe en poussiere en un round. tant que l'ame de la creature morte reste dans la gemme, cette creature ne peut pas etre ramenee a la vie (a moins d'une intervention divine). une fois la demiliche detruite, il est possible de recuperer les gemmes qui contiennent des ames ; il suffit alors de les ecraser pour liberer ces ames et leur permettre de continuer leur voyage vers l'au-dela, mais elles peuvent egalement etre utilisees comme composantes materielles pour restaurer l'ame et le corps grace a un sort de resurrection ou de resurrection supreme. apres 24 heures, la demiliche peut decider de consommer une ame emprisonnee dans une gemme, ce qui la soigne de 1d6 points de vie par dv de l'ame en question. a ce moment-la, seul un sort de miracle ou de souhait peut ramener la creature morte a la vie. le dd du jet de sauvegarde depend du charisme et inclut un bonus de +2 provenant du don de capacite renforcee
* immunites : acide, electricite, froid, magie, metamorphose, traits des morts-vivants
* rejuvenation : une demiliche detruite se reforme en 2d6 jours. pour detruire une demiliche de maniere permanente, il faut verser de l'eau benite sur sa depouille alors qu'elle se trouve dans la zone d'un sort de sanctification, puis lancer un sort de parole sacree ou de rejet du mal. si le lanceur de sort reussit un test de nls contre un dd egal a 10 + le nombre de dv de la demiliche, cette derniere est detruite de maniere permanente
* immunite contre la magie : une demiliche est immunisee contre tout sort et pouvoir magique qui autorise une resistance a la magie. en plus de cela, certains sorts fonctionnent differemment sur ce type de creature. un sort de dissipation de la magie inflige 2d6 points de degats sans autoriser de jet de sauvegarde. un chatiment sacre affecte la demiliche normalement. un mot de pouvoir mortel lance par une creature etheree inflige 50 points de degats a la demiliche si elle rate un jet de vigueur (dd determine normalement). un sort de fracassement inflige 1d6 points de degats par 2 nls (max 10d6) sans autoriser de jet de sauvegarde
* capacites defensives : resistance a la canalisation +5, rejuvenation, grace maudite
* faiblesses : susceptibilite aux armes vorpales, torpeur
* allonge : 0
* susceptibilite aux armes vorpales : les armes vorpales de toutes sortes ignorent la rd de la demiliche
* grace maudite : une demiliche gagne un bonus aux jets de sauvegarde et un bonus maudit a la ca tous les deux egaux a son modificateur de charisme";
